data;casos confirmados;novos casos;media semanal ;Taxa de variação;mortes;mortes diárias;média semanal mortes;recuperados;variação diária recuperados;taxa de letalidade;Variação semanal;Suspeitos;Variação suspeitos;Casos Ativos;Variação de Casos Ativos 
02/03/2020;2;2;;;0;0;;0;0;0,0;-;85;;2;
03/03/2020;4;2;;50,0;0;0;;0;0;0,0;-;101;16;4;2
04/03/2020;5;1;;20,0;0;0;;0;0;0,0;-;117;16;5;1
05/03/2020;9;4;;44,4;0;0;;0;0;0,0;-;147;30;9;4
06/03/2020;13;4;;30,8;0;0;;0;0;0,0;-;181;34;13;4
07/03/2020;21;8;;38,1;0;0;;0;0;0,0;-;224;43;21;8
08/03/2020;30;9;4;30,0;0;0;0;0;0;0,0;0;281;57;30;9
09/03/2020;39;9;5;23,1;0;0;0;0;0;0,0;0;339;58;39;9
10/03/2020;41;2;5;4,9;0;0;0;0;0;0,0;0;375;36;41;2
11/03/2020;59;18;8;30,5;0;0;0;0;0;0,0;0;471;96;59;18
12/03/2020;78;19;10;24,4;0;0;0;0;0;0,0;0;637;166;78;19
13/03/2020;112;34;14;30,4;0;0;0;1;1;0,0;0;1308;671;111;33
14/03/2020;169;57;21;33,7;0;0;0;1;0;0,0;0;1704;396;168;57
15/03/2020;245;76;31;31,0;0;0;0;2;1;0,0;0;2271;567;243;75
16/03/2020;331;86;42;26,0;1;1;0;3;1;0,3;0;2908;637;327;84
17/03/2020;448;117;58;26,1;1;0;0;3;0;0,2;0;4030;1122;444;117
18/03/2020;642;194;83;30,2;2;1;0;3;0;0,3;0;5067;1037;637;193
19/03/2020;785;143;101;18,2;4;2;1;3;0;0,5;0;6061;994;778;141
20/03/2020;1020;235;130;23,0;6;2;1;5;2;0,6;1;7732;1671;1009;231
21/03/2020;1280;260;159;20,3;12;6;2;5;0;0,9;1;9854;2122;1263;254
22/03/2020;1600;320;194;20,0;14;2;2;5;0;0,9;0;11779;1925;1581;318
23/03/2020;2060;460;247;22,3;23;9;3;14;9;1,1;2;13674;1895;2023;442
24/03/2020;2362;302;273;12,8;33;10;5;22;8;1,4;3;15474;1800;2307;284
25/03/2020;2995;633;336;21,1;43;10;6;22;0;1,4;3;21155;5681;2930;623
26/03/2020;3544;549;394;15,5;60;17;8;43;21;1,7;6;22257;1102;3441;511
27/03/2020;4268;724;464;17,0;76;16;10;43;0;1,8;5;25431;3174;4149;708
28/03/2020;5170;902;556;17,4;100;24;13;43;0;1,9;5;32754;7323;5027;878
29/03/2020;5962;792;623;13,3;119;19;15;43;0;2,0;5;38042;5288;5800;773
30/03/2020;6408;446;621;7,0;140;21;17;43;0;2,2;4;44206;6164;6225;425
31/03/2020;7443;1035;726;13,9;160;20;18;43;0;2,1;3;52086;7880;7240;1015
01/04/2020;8251;808;751;9,8;187;27;21;43;0;2,3;3;59457;7371;8021;781
02/04/2020;9034;783;784;8,7;209;22;21;68;25;2,3;4;66895;7438;8757;736
03/04/2020;9886;852;803;8,6;246;37;#REF!;68;0;2,5;#REF!;74377;7482;9572;815
04/04/2020;10524;638;765;6,1;266;20;24;75;7;2,5;5;81087;6710;10183;611
05/04/2020;11278;754;759;6,7;295;29;25;75;0;2,6;5;86370;5283;10908;725
06/04/2020;11730;452;760;3,9;311;16;24;140;65;2,7;14;91794;5424;11279;371
07/04/2020;12442;712;714;5,7;345;34;#REF!;184;44;2,8;#REF!;99730;7936;11913;634
08/04/2020;13141;699;699;5,3;380;35;#REF!;196;12;2,9;#REF!;104886;5156;12565;652
09/04/2020;13956;815;703;5,8;409;29;29;205;9;2,9;20;115158;10272;13342;777
10/04/2020;15472;1516;798;9,8;435;26;27;233;28;2,8;24;123564;8406;14804;1462
11/04/2020;15987;515;780;3,2;470;35;#REF!;266;33;2,9;#REF!;130300;6736;15251;447
12/04/2020;16585;598;758;3,6;504;34;30;277;11;3,0;29;136243;5943;15804;553
13/04/2020;16934;349;743;2,1;535;31;32;277;0;3,2;20;139184;2941;16122;318
14/04/2020;17448;514;715;2,9;567;32;32;347;70;3,2;23;142514;3330;16534;412
15/04/2020;18091;643;707;3,6;599;32;31;383;36;3,3;27;150804;8290;17109;575
16/04/2020;18841;750;698;4,0;629;30;31;493;110;3,3;41;154727;3923;17719;610
17/04/2020;19022;181;507;1,0;657;28;32;519;26;3,5;41;158940;4213;17846;127
18/04/2020;19685;663;528;3,4;687;30;31;610;91;3,5;49;162711;3771;18388;542
19/04/2020;20206;521;517;2,6;714;27;30;610;0;3,5;48;187604;24893;18882;494
20/04/2020;20863;657;561;3,1;735;21;29;610;0;3,5;48;198353;10749;19518;636
21/04/2020;21379;516;562;2,4;762;27;28;917;307;3,6;81;202769;4416;19700;182
22/04/2020;21982;603;556;2,7;785;23;27;1143;226;3,6;109;210302;7533;20054;354
23/04/2020;22353;371;502;1,7;820;35;#REF!;1201;58;3,7;#REF!;219848;9546;20332;278
24/04/2020;22797;444;539;1,9;854;34;28;1228;27;3,7;101;227393;7545;20715;383
25/04/2020;23392;595;530;2,5;880;26;28;1277;49;3,8;95;231737;4344;21235;520
26/04/2020;23683;291;497;1,2;903;23;27;1329;52;3,8;103;236229;4492;21451;216
27/04/2020;23846;163;426;0,7;928;25;28;1357;28;3,9;107;237390;1161;21561;110
28/04/2020;24144;298;395;1,2;948;20;27;1389;32;3,9;67;238887;1497;21807;246
29/04/2020;24505;361;360;1,5;973;25;27;1470;81;4,0;47;243655;4768;22062;255
30/04/2020;24692;187;334;0,8;989;16;24;1519;49;4,0;45;247343;3688;22184;122
01/05/2020;24987;295;313;1,2;1007;18;22;1647;128;4,0;60;250905;3562;22333;149
02/05/2020;25190;203;257;0,8;1023;16;20;1671;24;4,1;56;252728;1823;22496;163
03/05/2020;25282;92;228;0,4;1043;20;20;1689;18;4,1;51;252889;161;22550;54
04/05/2020;25524;242;240;0,9;1063;20;19;1712;23;4,2;51;254510;1621;22749;199
05/05/2020;25702;178;223;0,7;1074;11;18;1743;31;4,2;51;258488;3978;22885;136
06/05/2020;26182;480;240;1,8;1089;15;17;2076;333;4,2;87;262041;3553;23017;132
07/05/2020;26715;533;289;2,0;1105;16;17;2258;182;4,1;106;265572;3531;23352;335
08/05/2020;27268;553;326;2,0;1114;9;15;2422;164;4,1;111;269266;3694;23732;380
09/05/2020;27406;138;317;0,5;1126;12;15;2499;77;4,1;118;272443;3177;23781;49
10/05/2020;27581;175;328;0,6;1135;9;13;2549;50;4,1;123;274536;2093;23897;116
11/05/2020;27679;98;308;0,4;1144;9;12;2549;0;4,1;120;276153;1617;23986;89
12/05/2020;27913;234;316;0,8;1163;19;13;3013;464;4,2;181;279933;3780;23737;-249
13/05/2020;28132;219;279;0,8;1175;12;12;3182;169;4,2;158;282961;3028;23775;38
14/05/2020;28319;187;229;0,7;1184;9;11;3198;16;4,2;134;286285;3324;23937;162
15/05/2020;28583;264;188;0,9;1190;6;11;3328;130;4,2;129;289309;3024;24065;128
16/05/2020;28810;227;201;0,8;1203;13;11;3822;494;4,2;189;292249;2940;23785;-280
17/05/2020;29036;226;208;0,8;1218;15;12;4636;814;4,2;298;294009;1760;23182;-603
18/05/2020;29209;173;219;0,6;1231;13;12;6430;1794;4,2;554;295449;1440;21548;-1634
19/05/2020;29432;223;217;0,8;1247;16;12;6431;1;4,2;488;298501;3052;21754;206
20/05/2020;29660;228;218;0,8;1263;16;13;6452;21;4,3;467;301225;2724;21945;191
21/05/2020;29912;252;228;0,8;1277;14;13;6452;0;4,3;465;303811;2586;22183;238
22/05/2020;30200;288;231;1,0;1289;12;14;7590;1138;4,3;609;306171;2360;21321;-862
23/05/2020;30471;271;237;0,9;1302;13;14;7705;115;4,3;555;308584;2413;21464;143
24/05/2020;30623;152;227;0,5;1316;14;14;17549;9844;4,3;1845;309966;1382;11758;-9706
25/05/2020;30788;165;226;0,5;1330;14;14;17822;273;4,3;1627;311223;1257;11636;-122
26/05/2020;31007;219;225;0,7;1342;12;14;18096;274;4,3;1666;313886;2663;11569;-67
27/05/2020;31292;285;233;0,9;1356;14;13;18349;253;4,3;1700;316364;2478;11587;18
28/05/2020;31596;304;241;1,0;1369;13;13;18637;288;4,3;1741;318810;2446;11590;3
29/05/2020;31946;350;249;1,1;1383;14;13;18911;274;4,3;1617;321290;2480;11652;62
30/05/2020;32203;257;247;0,8;1396;13;13;19186;275;4,3;1640;323663;2373;11621;-31
31/05/2020;32500;297;268;0,9;1410;14;13;19409;223;4,3;266;325026;1363;11681;60
01/06/2020;32700;200;273;0,6;1424;14;13;19552;143;4,4;247;326278;1252;11724;43
02/06/2020;32895;195;270;0,6;1436;12;13;19869;317;4,4;253;328873;2595;11590;-134
03/06/2020;33261;366;281;1,1;1447;11;13;20079;210;4,4;247;331094;2221;11735;145
04/06/2020;33592;331;285;1,0;1455;8;12;20323;244;4,3;241;333106;2012;11814;79
05/06/2020;33969;377;289;1,1;1465;10;#REF!;20526;203;4,3;#REF!;334923;1817;11978;164
06/06/2020;34351;382;307;1,1;1474;9;11;20807;281;4,3;232;337333;2410;12070;92
07/06/2020;34693;342;313;1,0;1479;5;10;20995;188;4,3;227;338500;1167;12219;149
08/06/2020;34885;192;312;0,6;1485;6;9;21156;161;4,3;229;339624;1124;12244;25
09/06/2020;35306;421;344;1,2;1492;7;8;21339;183;4,2;210;342060;2436;12475;231
10/06/2020;35600;294;334;0,8;1497;5;7;21742;403;4,2;238;344217;2157;12361;-114
11/06/2020;35910;310;331;0,9;1504;7;7;22002;260;4,2;240;345495;1278;12404;43
12/06/2020;36180;270;316;0,7;1505;1;#REF!;22200;198;4,2;#REF!;346703;1208;12475;71
13/06/2020;36463;283;302;0,8;1512;7;5;22438;238;4,1;233;348837;2134;12513;38
14/06/2020;36690;227;285;0,6;1517;5;5;22669;231;4,1;239;349997;1160;12504;-9
15/06/2020;37036;346;307;0,9;1520;3;5;22852;183;4,1;242;351057;1060;12664;160
16/06/2020;37336;300;290;0,8;1522;2;#REF!;23212;360;4,1;#REF!;353178;2121;12602;-62
17/06/2020;37672;336;296;0,9;1523;1;4;23580;368;4,0;263;355207;2029;12569;-33
18/06/2020;38089;417;311;1,1;1524;1;3;24010;430;4,0;287;357291;2084;12555;-14
19/06/2020;38464;375;326;1,0;1527;3;3;24477;467;4,0;325;359579;2288;12460;-95
20/06/2020;38841;377;340;1,0;1528;1;2;24906;429;3,9;353;361848;2269;12407;-53
21/06/2020;39133;292;349;0,7;1530;2;2;25376;470;3,9;387;363133;1285;12227;-180
22/06/2020;39392;259;337;0,7;1534;4;2;25548;172;3,9;385;364305;1172;12310;83
23/06/2020;39737;345;343;0,9;1540;6;3;25829;281;3,9;374;366777;2472;12368;58
24/06/2020;40104;367;347;0,9;1543;3;3;26083;254;3,8;358;368967;2190;12478;110
25/06/2020;40415;311;332;0,8;1549;6;4;26382;299;3,8;339;371024;2057;12484;6
26/06/2020;40866;451;343;1,1;1555;6;4;26633;251;3,8;308;373293;2269;12678;194
27/06/2020;41189;323;335;0,8;1561;6;5;26864;231;3,8;280;375490;2197;12764;86
28/06/2020;41646;457;359;1,1;1564;3;5;27066;202;3,8;241;376815;1325;13016;252
29/06/2020;41912;266;360;0,6;1568;4;5;27205;139;3,7;237;378073;1258;13139;123
30/06/2020;42171;259;348;0,6;1576;8;5;27505;300;3,7;239;380506;2433;13090;-49
01/07/2020;42523;352;346;0,8;1579;3;5;27798;293;3,7;245;382887;2381;13146;56
02/07/2020;42901;378;355;0,9;1587;8;5;28097;299;3,7;245;385092;2205;13217;71
03/07/2020;43356;455;356;1,0;1598;11;6;28424;327;3,7;256;387126;2034;13334;117
04/07/2020;43769;413;369;0,9;1605;7;6;28772;348;3,7;273;389169;2043;13392;58
05/07/2020;44097;328;350;0,7;1614;9;7;29017;245;3,7;279;390600;1431;13466;74
06/07/2020;44329;232;345;0,5;1620;6;7;29166;149;3,7;280;391851;1251;13543;77
07/07/2020;44616;287;349;0,6;1629;9;8;29445;279;3,7;277;394334;2483;13542;-1
08/07/2020;45059;443;362;1,0;1631;2;7;29714;269;3,6;274;396721;2387;13714;172
09/07/2020;45477;418;368;0,9;1644;13;8;30049;335;3,6;279;399122;2401;13784;70
10/07/2020;45879;402;360;0,9;1646;2;7;30350;301;3,6;275;401496;2374;13883;99
11/07/2020;46221;342;350;0,7;1654;8;7;30655;305;3,6;269;403748;2252;13912;29
12/07/2020;46512;291;345;0,6;1660;6;7;30907;252;3,6;270;405110;1362;13945;33
13/07/2020;46818;306;356;0,7;1662;2;6;31065;158;3,5;271;406412;1302;14091;146
14/07/2020;47051;233;348;0,5;1668;6;6;31550;485;3,5;301;408951;2539;13833;-258
15/07/2020;47426;375;338;0,8;1676;8;6;32110;560;3,5;342;411293;2342;13640;-193
16/07/2020;47765;339;327;0,7;1679;3;5;32476;366;3,5;347;413498;2205;13610;-30
17/07/2020;48077;312;314;0,6;1682;3;5;32790;314;3,5;349;415851;2353;13605;-5
18/07/2020;48390;313;310;0,6;1684;2;4;33153;363;3,5;357;417996;2145;13553;-52
19/07/2020;48636;246;303;0,5;1689;5;4;33369;216;3,5;352;419408;1412;13578;25
20/07/2020;48771;135;279;0,3;1691;2;4;33547;178;3,5;355;420635;1227;13533;-45
21/07/2020;48898;127;264;0,3;1697;6;4;33769;222;3,5;317;423040;2405;13432;-101
22/07/2020;49150;252;246;0,5;1702;5;4;33999;230;3,5;270;425124;2084;13449;17
23/07/2020;49379;229;231;0,5;1705;3;4;34369;370;3,5;270;427203;2079;13305;-144
24/07/2020;49692;313;231;0,6;1712;7;4;34687;318;3,4;271;429254;2051;13293;-12
25/07/2020;49955;263;224;0,5;1716;4;5;35010;323;3,4;265;431111;1857;13229;-64
26/07/2020;50164;209;218;0,4;1717;1;4;35217;207;3,4;264;432390;1279;13230;1
27/07/2020;50299;135;218;0,3;1719;2;4;35375;158;3,4;261;433461;1071;13205;-25
28/07/2020;50410;111;216;0,2;1722;3;4;35626;251;3,4;265;435789;2328;13062;-143
29/07/2020;50613;203;209;0,4;1725;3;3;35875;249;3,4;268;437976;2187;13013;-49
30/07/2020;50868;255;213;0,5;1727;2;3;36140;265;3,4;253;440046;2070;13001;-12
31/07/2020;51072;204;197;0,4;1735;8;3;36483;343;3,4;257;442088;2042;12854;-147
01/08/2020;51310;238;194;0,5;1737;2;3;36783;300;3,4;253;443975;1887;12790;-64
02/08/2020;51463;153;186;0,3;1738;1;3;36984;201;3,4;252;445193;1218;12741;-49
03/08/2020;51569;106;181;0,2;1738;0;#REF!;37111;127;3,4;#REF!;446342;1149;12720;-21
04/08/2020;51681;112;182;0,2;1739;1;2;37318;207;3,4;242;448517;2175;12624;-96
05/08/2020;51848;167;176;0,3;1740;1;2;37565;247;3,4;241;450524;2007;12543;-81
06/08/2020;52061;213;170;0,4;1743;3;2;37840;275;3,3;243;452453;1929;12478;-65
07/08/2020;52351;290;183;0,6;1746;3;2;38087;247;3,3;229;454380;1927;12518;40
08/08/2020;52537;186;175;0,4;1750;4;2;38364;277;3,3;226;456256;1876;12423;-95
09/08/2020;52668;131;172;0,2;1756;6;3;38511;147;3,3;218;457462;1206;12401;-22
10/08/2020;52825;157;179;0,3;1759;3;3;38600;89;3,3;213;458607;1145;12466;65
11/08/2020;52945;120;181;0,2;1761;2;3;38760;160;3,3;206;460663;2056;12424;-42
12/08/2020;53223;278;196;0,5;1764;3;3;38940;180;3,3;196;462450;1787;12519;95
13/08/2020;53548;325;212;0,6;1770;6;4;39177;237;3,3;191;464365;1915;12601;82
14/08/2020;53783;235;205;0,4;1772;2;4;39374;197;3,3;184;466096;1731;12637;36
15/08/2020;53981;198;206;0,4;1775;3;4;39585;211;3,3;174;467868;1772;12621;-16
16/08/2020;54102;121;205;0,2;1778;3;3;39697;112;3,3;169;468937;1069;12627;6
17/08/2020;54234;132;201;0,2;1779;1;3;39800;103;3,3;171;;;12655;28
18/08/2020;54448;214;215;0,4;1784;5;3;39936;136;3,3;168;;;12728;73
19/08/2020;54701;253;211;0,5;1786;2;3;40129;193;3,3;170;;;12786;58
20/08/2020;54992;291;206;0,5;1788;2;3;40264;135;3,3;155;;;12940;154
21/08/2020;55211;219;204;0,4;1792;4;3;40473;209;3,2;157;;;12946;6
22/08/2020;55452;241;210;0,4;1794;2;3;40652;179;3,2;152;;;13006;60
23/08/2020;55597;145;214;0,3;1796;2;3;40774;122;3,2;154;;;13027;21
24/08/2020;55720;123;212;0,2;1801;5;3;40880;106;3,2;154;;;13039;12
25/08/2020;55912;192;209;0,3;1805;4;3;41021;141;3,2;155;;;13086;47
26/08/2020;56274;362;225;0,6;1807;2;3;41184;163;3,2;151;;;13283;197
27/08/2020;56673;399;240;0,7;1809;2;3;41357;173;3,2;156;;;13507;224
28/08/2020;57074;401;266;0,7;1815;6;3;41556;199;3,2;155;;;13703;196
29/08/2020;57448;374;285;0,7;1818;3;3;41766;210;3,2;159;;;13864;161
30/08/2020;57768;320;310;0,6;1819;1;3;41885;119;3,1;159;;;14064;200
31/08/2020;58012;244;327;0,4;1822;3;3;41961;76;3,1;154;;;14229;165
01/09/2020;58243;231;333;0,4;1824;2;3;42104;143;3,1;155;;;14315;86
02/09/2020;58633;390;337;0,7;1827;3;3;42233;129;3,1;150;;;14573;258
03/09/2020;59051;418;340;0,7;1829;2;3;42427;194;3,1;153;;;14795;222
04/09/2020;59457;406;340;0,7;1833;4;3;42576;149;3,1;146;;;15048;253
05/09/2020;59943;486;356;0,8;1838;5;3;42793;217;3,1;147;;;15312;264
06/09/2020;60258;315;356;0,5;1840;2;3;42953;160;3,1;153;;;15465;153
07/09/2020;60507;249;356;0,4;1843;3;3;43016;63;3,0;151;;;15648;183
08/09/2020;60895;388;379;0,6;1846;3;3;43146;130;3,0;149;;;15903;255
09/09/2020;61541;646;415;1,0;1849;3;3;43284;138;3,0;150;;;16408;505
10/09/2020;62126;585;439;0,9;1852;3;3;43441;157;3,0;145;;;16833;425
11/09/2020;62813;687;479;1,1;1855;3;3;43644;203;3,0;153;;;17314;481
12/09/2020;63310;497;481;0,8;1860;5;3;43894;250;2,9;157;;;17556;242
13/09/2020;63983;673;532;1,1;1867;7;4;44069;175;2,9;159;;;18047;491
14/09/2020;64596;613;584;0,9;1871;4;4;44185;116;2,9;167;;;18540;493
15/09/2020;65021;425;589;0,7;1875;4;4;44362;177;2,9;174;;;18784;244
16/09/2020;65626;605;584;0,9;1878;3;4;44528;166;2,9;178;;;19220;436
17/09/2020;66396;770;610;1,2;1888;10;5;44794;266;2,8;193;;;19714;494
18/09/2020;67176;780;623;1,2;1894;6;6;45053;259;2,8;201;;;20229;515
19/09/2020;68025;849;674;1,2;1899;5;6;45404;351;2,8;216;;;20722;493
20/09/2020;68577;552;656;0,8;1912;13;6;45596;192;2,8;218;;;21069;347
21/09/2020;69200;623;658;0,9;1920;8;7;45736;140;2,8;222;;;21544;475
22/09/2020;69663;463;663;0,7;1925;5;7;45974;238;2,8;230;;;21764;220
23/09/2020;70465;802;691;1,1;1928;3;7;46290;316;2,7;252;;;22247;483
24/09/2020;71156;691;680;1,0;1931;3;6;46676;386;2,7;269;;;22549;302
25/09/2020;72055;899;697;1,2;1936;5;6;47003;327;2,7;279;;;23116;567
26/09/2020;72939;884;702;1,2;1944;8;6;47380;377;2,7;282;;;23615;499
27/09/2020;73604;665;718;0,9;1953;9;6;47647;267;2,7;293;;;24004;389
28/09/2020;74029;425;690;0,6;1957;4;5;47884;237;2,6;307;;;24188;184
29/09/2020;74717;688;722;0,9;1963;6;5;48193;309;2,6;317;;;24561;373
30/09/2020;75542;825;725;1,1;1971;8;6;48530;337;2,6;320;;;25041;480
01/10/2020;76396;854;749;1,1;1977;6;7;48937;407;2,6;323;;;25482;441
02/10/2020;77284;888;747;1,1;1983;6;7;49359;422;2,6;337;;;25942;460
03/10/2020;78247;963;758;1,2;1995;12;7;49845;486;2,5;352;;;26407;465
04/10/2020;79151;904;792;1,1;2005;10;7;50207;362;2,5;366;;;26939;532
05/10/2020;79885;734;837;0,9;2018;13;9;50454;247;2,5;367;;;27413;474
06/10/2020;80312;427;799;0,5;2032;14;10;50712;258;2,5;360;;;27568;155
07/10/2020;81256;944;816;1,2;2040;8;10;51037;325;2,5;358;;;28179;611
08/10/2020;82534;1278;877;1,5;2050;10;10;51517;480;2,5;369;;;28967;788
09/10/2020;83928;1394;949;1,7;2062;12;11;52164;647;2,5;401;;;29702;735
10/10/2020;85574;1646;1047;1,9;2067;5;10;52803;639;2,4;423;;;30704;1002
11/10/2020;86664;1090;1073;1,3;2080;13;11;53187;384;2,4;426;;;31397;693
12/10/2020;87913;1249;1147;1,4;2094;14;11;53498;311;2,4;435;;;32321;924
13/10/2020;89121;1208;1258;1,4;2110;16;11;54047;549;2,4;476;;;32964;643
14/10/2020;91193;2072;1420;2,3;2117;7;11;54493;446;2,3;494;;;34583;1619
15/10/2020;93294;2101;1537;2,3;2128;11;11;55081;588;2,3;509;;;36085;1502
16/10/2020;95902;2608;1711;2,7;2149;21;12;56066;985;2,2;557;;;37687;1602
17/10/2020;98055;2153;1783;2,2;2162;13;14;57919;1853;2,2;731;;;37974;287
18/10/2020;99911;1856;1892;1,9;2181;19;14;59000;1081;2,2;830;;;38730;756
19/10/2020;101860;1949;1992;1,9;2198;17;15;59966;966;2,2;924;;;39696;966
20/10/2020;103736;1876;2088;1,8;2213;15;15;61898;1932;2,1;1122;;;39625;-71
21/10/2020;106271;2535;2154;2,4;2229;16;16;63238;1340;2,1;1249;;;40804;1179
22/10/2020;109541;3270;2321;3,0;2245;16;17;64531;1293;2,0;1350;;;42765;1961
23/10/2020;112440;2899;2363;2,6;2276;31;18;65880;1349;2,0;1402;;;44284;1519
24/10/2020;116109;3669;2579;3,2;2297;21;19;67842;1962;2,0;1418;;;45970;1686
25/10/2020;118686;2577;2682;2,2;2316;19;19;68877;1035;2,0;1411;;;47493;1523
26/10/2020;121133;2447;2753;2,0;2343;27;21;69956;1079;1,9;1427;;;48834;1341
27/10/2020;124432;3299;2957;2,7;2371;28;23;72344;2388;1,9;1492;;;49717;883
28/10/2020;128392;3960;3160;3,1;2395;24;24;74001;1657;1,9;1538;;;51996;2279
29/10/2020;132616;4224;3296;3,2;2428;33;26;75702;1701;1,8;1596;;;54486;2490
30/10/2020;137272;4656;3547;3,4;2468;40;27;77449;1747;1,8;1653;;;57355;2869
